Variable,Coeficiente,Importancia_Abs
jumping,-10663800.760279112,10663800.760279112
overallrating,10027036.190567402,10027036.190567402
standingtackle,8544610.971857965,8544610.971857965
potential,7616736.260843386,7616736.260843386
slidingtackle,-7418069.77397516,7418069.77397516
understat_xg,6678842.0346027315,6678842.0346027315
strength,6385968.585821266,6385968.585821266
agility,5072116.761864196,5072116.761864196
volleys,-4295550.493176732,4295550.493176732
headingaccuracy,4166041.603353942,4166041.603353942
longshots,3962037.292714454,3962037.292714454
understat_matches,-3946019.9533880427,3946019.9533880427
understat_assists,3908039.7713189893,3908039.7713189893
crossing,-3855303.439847354,3855303.439847354
understat_shots,3221328.4567569788,3221328.4567569788
ballcontrol,-2768084.1805357346,2768084.1805357346
acceleration,2533023.673680682,2533023.673680682
vision,-2483862.5897997897,2483862.5897997897
understat_minutes,-2338032.6906034243,2338032.6906034243
shortpassing,-2065543.8677759324,2065543.8677759324
understat_red_cards,-1605441.7887587103,1605441.7887587103
balance,-1560180.8171996102,1560180.8171996102
sprintspeed,1389141.376275248,1389141.376275248
understat_xa,-1325139.8352838797,1325139.8352838797
stamina,-1266443.6281561225,1266443.6281561225
dribbling,1200209.780714171,1200209.780714171
composure,1131916.1332275525,1131916.1332275525
understat_goals,1120904.961792418,1120904.961792418
understat_yellow_cards,968743.9213314167,968743.9213314167
fk_accuracy,-816478.0603305782,816478.0603305782
Pie bueno,768154.397495087,768154.397495087
Posición específica,584010.6325656198,584010.6325656198
finishing,433554.81324971817,433554.81324971817
penalties,-419873.18327534373,419873.18327534373
shotpower,-313325.27888204064,313325.27888204064
longpassing,249555.43266665938,249555.43266665938
reactions,-222491.30556900235,222491.30556900235
curve,179452.78676658616,179452.78676658616
defensiveawareness,100080.49217246892,100080.49217246892
aggression,-65097.564328554705,65097.564328554705
understat_key_passes,-62875.96780965836,62875.96780965836
Posición secundaria,-42148.64814330342,42148.64814330342
positioning,-34695.56663716306,34695.56663716306
interceptions,-16361.126456935277,16361.126456935277
