Variable,Coeficiente,Importancia_Abs
jumping,-10663825.215535337,10663825.215535337
overallrating,10026998.305039423,10026998.305039423
standingtackle,8544612.756618394,8544612.756618394
potential,7616739.134238939,7616739.134238939
slidingtackle,-7418072.861453801,7418072.861453801
understat_xg,6678844.4721405925,6678844.4721405925
strength,6385981.835595279,6385981.835595279
agility,5072119.40305134,5072119.40305134
volleys,-4295558.815385452,4295558.815385452
headingaccuracy,4166058.884246406,4166058.884246406
longshots,3962043.4994338285,3962043.4994338285
understat_matches,-3946017.3634755546,3946017.3634755546
understat_assists,3908039.140142442,3908039.140142442
crossing,-3855307.8369400627,3855307.8369400627
understat_shots,3221327.56310689,3221327.56310689
ballcontrol,-2768056.1500150077,2768056.1500150077
acceleration,2533035.3485577134,2533035.3485577134
vision,-2483850.2180089983,2483850.2180089983
understat_minutes,-2338034.980392091,2338034.980392091
shortpassing,-2065558.5576057998,2065558.5576057998
understat_red_cards,-1605442.3117859135,1605442.3117859135
balance,-1560177.5713976012,1560177.5713976012
sprintspeed,1389145.2551984587,1389145.2551984587
understat_xa,-1325139.8827281378,1325139.8827281378
stamina,-1266440.108201654,1266440.108201654
dribbling,1200192.5827298288,1200192.5827298288
composure,1131913.5621849527,1131913.5621849527
understat_goals,1120903.2750674724,1120903.2750674724
understat_yellow_cards,968742.6692077519,968742.6692077519
fk_accuracy,-816478.9767320638,816478.9767320638
Pie bueno,768156.2032250019,768156.2032250019
Posición específica,584008.76281061,584008.76281061
finishing,433548.4670709027,433548.4670709027
penalties,-419870.1942937301,419870.1942937301
shotpower,-313319.4972162647,313319.4972162647
longpassing,249559.49536918764,249559.49536918764
reactions,-222467.61759938634,222467.61759938634
curve,179451.6421344024,179451.6421344024
defensiveawareness,100079.55437407778,100079.55437407778
aggression,-65097.02116671534,65097.02116671534
understat_key_passes,-62875.34180595587,62875.34180595587
Posición secundaria,-42150.44916187992,42150.44916187992
positioning,-34695.901761048386,34695.901761048386
interceptions,-16359.586387035486,16359.586387035486
